,Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,Debt,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,1,1,0.766126609,45,2,7323.19701648,9120.0,13,0,6,0,2.0
1,2,0,0.957151019,40,0,316.8781226,2600.0,4,0,0,0,1.0
2,3,0,0.65818014,38,1,258.91488675,3042.0,2,1,0,0,0.0
3,4,0,0.233809776,30,0,118.9639506,3300.0,5,0,0,0,0.0
4,5,0,0.9072394,49,1,1584.97509366,63588.0,7,0,1,0,0.0
5,6,0,0.213178682,74,0,1314.6243915,3500.0,3,0,1,0,1.0
6,7,0,0.305682465,57,0,,6438.4734917733085,8,0,3,0,0.0
7,8,0,0.754463648,39,0,734.7900595,3500.0,8,0,0,0,0.0
8,9,0,0.116950644,27,0,,6438.4734917733085,2,0,0,0,
9,10,0,0.189169052,57,0,14359.393699284,23684.0,9,0,4,0,2.0
10,11,0,0.644225962,30,0,773.690525,2500.0,5,0,0,0,0.0
11,12,0,0.01879812,51,0,3455.46846876,6501.0,7,0,2,0,2.0
12,13,0,0.010351857,46,0,3715.70165005,12454.0,13,0,2,0,2.0
13,14,1,0.964672555,40,3,5246.6170339,13700.0,9,3,1,1,2.0
14,15,0,0.019656581,76,0,0.0,0.0,6,0,1,0,0.0
15,16,0,0.548458062,64,0,2384.790108948,11362.0,7,0,1,0,2.0
16,17,0,0.061086118,78,0,,6438.4734917733085,10,0,2,0,0.0
17,18,0,0.166284079,53,0,1656.811728,8800.0,7,0,0,0,0.0
18,19,0,0.221812771,43,0,1731.47211192,3280.0,7,0,1,0,2.0
19,20,0,0.602794411,25,0,21.934131579,333.0,2,0,0,0,0.0
20,21,0,0.200923382,43,0,5289.5699574,12300.0,10,0,2,0,0.0
21,22,1,0.025655677,38,0,1427.524158,3000.0,7,0,1,0,2.0
22,23,0,0.9999999,39,0,602.7588975,2500.0,4,0,0,0,0.0
23,24,0,0.075426584,32,0,676.9144881240001,7916.0,6,0,0,0,0.0
24,25,0,0.04656027,58,0,583.75837752,2416.0,9,0,1,0,0.0
25,26,1,0.392248482,50,0,7459.404748768,4676.0,14,0,3,0,1.0
26,27,0,0.052436094,58,0,813.902325938,8333.0,22,0,1,0,0.0
27,28,0,0.034421473,69,0,105.9576175,2500.0,17,0,0,0,1.0
28,29,0,0.452515828,24,0,39.9882398,3400.0,1,0,0,0,0.0
29,30,0,0.392994586,58,2,2398.5638985,5500.0,15,0,1,0,0.0
30,31,0,0.704073982,28,1,651.8448006000001,4200.0,8,0,0,0,0.0
31,32,0,0.9999999,24,0,354.52729725,750.0,1,0,0,0,0.0
32,33,0,0.083418009,62,0,,6438.4734917733085,6,0,1,0,0.0
33,34,0,0.186868556,57,0,2196.6861910000002,7000.0,9,0,2,0,0.0
34,35,0,0.693329681,42,2,574.7422685700001,2230.0,7,0,0,0,0.0
35,36,0,0.0,64,0,808.926459,11000.0,9,0,1,0,0.0
36,37,0,0.881836362,50,3,2271.43214,4000.0,9,0,1,0,1.0
37,38,0,0.9999999,75,1,455.8659208,3400.0,1,0,1,0,1.0
38,39,0,0.363636364,26,0,9.99001,1000.0,1,0,0,0,0.0
39,40,0,0.304490668,52,0,2829.191659,3500.0,10,0,2,0,0.0
40,41,0,0.71998531,41,1,3075.4604447999996,5700.0,14,0,1,0,0.0
41,42,0,0.07289757,81,0,,6438.4734917733085,7,0,0,0,0.0
42,43,0,0.469056842,31,0,445.951787,9250.0,4,0,0,0,1.0
43,44,0,0.718705378,28,0,622.8298728540001,3661.0,4,0,0,0,1.0
44,45,0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0.0
45,46,0,0.000602723,70,0,2986.8222048000002,16800.0,12,0,1,0,2.0
46,47,0,0.061440132,62,0,34.988833321,3133.0,2,0,0,0,0.0
47,48,0,0.140110634,31,0,1335.310629445,1937.0,4,0,2,0,0.0
48,49,0,0.834048027,38,0,5117.606338,13000.0,13,0,2,0,2.0
49,50,0,7.96e-05,70,0,1768.7436609,6900.0,21,1,1,0,0.0
50,51,0,0.818977517,73,0,0.0,0.0,9,0,1,1,0.0
51,52,1,0.728150491,31,0,2474.175276,3000.0,10,0,2,0,1.0
52,53,0,0.9999999,62,0,,6438.4734917733085,1,0,0,0,0.0
53,54,0,0.028562367,51,0,1761.69361925,5750.0,5,0,1,0,0.0
54,55,0,0.992015968,29,0,17.991935196,2231.0,1,0,0,0,0.0
55,56,0,0.070853769,55,0,1008.926846785,13793.0,4,0,1,0,0.0
56,57,0,0.454971915,46,1,219.983075,13000.0,10,0,0,0,1.0
57,58,0,0.401199782,64,0,1129.648741392,3216.0,4,0,1,0,0.0
58,59,0,0.541108804,43,0,,6438.4734917733085,3,0,1,0,2.0
59,60,0,0.655569945,35,0,1520.7383893909998,5813.0,10,0,0,0,2.0
60,61,0,0.651603452,58,0,1876.758865129,7783.0,11,0,1,0,0.0
61,62,0,0.027399502,69,0,44.991968,5600.0,3,0,0,0,0.0
62,63,0,0.101155821,72,0,,6438.4734917733085,12,0,2,0,0.0
63,64,0,0.009788862,46,0,3496.948603856,3326.0,6,0,2,0,2.0
64,65,0,0.337520702,60,0,2474.4501225000004,4500.0,10,0,2,0,0.0
65,66,0,0.0,67,0,2012.45901804,3720.0,2,0,1,0,0.0
66,67,0,0.750873672,55,2,2443.6835868949997,7723.0,17,0,1,0,1.0
67,68,0,0.006799093,27,1,520.318954528,764.0,3,0,0,0,0.0
68,69,0,0.004264079,31,0,222.888556,2000.0,6,1,0,0,2.0
69,70,0,0.26948375,64,0,1522.8389408,9455.0,13,0,1,0,3.0
70,71,0,0.265898391,36,0,2201.7373898879996,8384.0,6,0,2,0,1.0
71,72,0,0.142013011,67,0,,6438.4734917733085,7,0,2,0,0.0
72,73,0,0.827708197,56,0,2510.6304062950003,6793.0,15,1,1,0,0.0
73,74,0,0.059668871,31,0,0.0,0.0,11,0,2,0,1.0
74,75,1,0.13306279,49,1,1875.8171148210001,10257.0,9,0,2,0,3.0
75,76,0,0.234218112,36,0,1002.8833841999999,8600.0,19,0,0,0,3.0
76,77,0,0.122295933,29,0,3334.3053552,4800.0,5,0,1,0,0.0
77,78,0,0.460376317,37,0,368.92584627499997,4975.0,6,0,0,0,0.0
78,79,0,0.335558577,69,0,4056.729555,15000.0,14,0,2,0,1.0
79,80,0,0.270522569,41,0,2915.20230069,1042.0,11,0,2,0,2.0
80,81,0,0.183316667,52,0,1203.888871959,10833.0,14,0,2,0,1.0
81,82,0,0.074861676,66,0,939.7911555,4500.0,3,0,1,0,0.0
82,83,0,0.017258977,53,0,32332.395494622,12414.0,13,0,1,0,2.0
83,84,0,0.054497069,56,0,2435.5079793,4950.0,18,0,2,0,0.0
84,85,0,0.029164236,31,0,1303.6049697,3300.0,10,0,1,0,0.0
85,86,0,0.0,58,0,1544.6838543640001,4886.0,9,0,1,0,1.0
86,87,0,0.360509632,58,1,,6438.4734917733085,8,0,2,0,0.0
87,88,0,0.003749688,64,0,12.9959392,3200.0,5,0,0,1,0.0
88,89,1,0.734477501,45,0,2789.408521944,4716.0,13,0,2,0,2.0
89,90,0,0.080564168,60,0,2395.512709252,4916.0,15,0,2,0,0.0
90,91,0,0.039387786,51,0,0.0,0.0,7,0,0,0,0.0
91,92,0,0.023767433,83,0,1299.876207,10500.0,13,0,0,0,0.0
92,93,0,0.784835658,52,0,,6438.4734917733085,10,0,2,1,0.0
93,94,0,0.888822236,34,0,1123.6315961,3050.0,4,0,0,0,1.0
94,95,0,0.791173628,44,0,1588.487585,3100.0,5,0,1,0,0.0
95,96,0,0.24535301,37,0,1874.7115854999997,6500.0,11,1,1,1,0.0
